gen,mod,student,instructor,word_count,mean_word_length,different_words,valid_sentences_count,mean_words_per_sentence,mean_different_words_per_bucket,FleschReadingEase,FleschKincaidGradeLevel,GunningFogIndex,SMOGIndex,ColemanLiauIndex,LIX,RIX
gen2,mod1_pro,moralesam,mdrlp,5197,4.885126034250529,1315,143,35.88811188811189,62.40677966101695,49.938,14.2437,18.1076,14.344301733389402,12.248,60.238157053842464,9.022727272727273
gen3,mod1_pro,martinezmdj,ado,5055,4.422551928783383,929,85,59.38823529411765,58.964285714285715,25.1551,24.6564,27.991,16.45446867299959,10.1403,81.84142154350722,12.920454545454545
gen3,mod1_pro,dominguezpe,nss,12240,4.704901960784314,1834,651,17.94009216589862,59.157534246575345,67.0145,7.6386,11.2289,10.845684821481246,10.5855,40.38469179250001,3.8751472320376914
gen3,mod1_pro,lopezca,grp,4000,5.01825,1026,135,29.57777777777778,62.75555555555555,39.963,15.1381,18.0311,14.786137767659975,13.1721,60.22878579587035,9.065217391304348
gen3,mod1_pro,fragosomdca,rias,7181,4.718005848767581,1126,320,22.140625,59.85,62.2021,9.8004,13.1201,11.6290111713344,10.3744,45.489977465029206,5.14404432132964
gen3,mod3_pro,parrillacp,rsp,19764,5.073618700667881,2112,985,19.836548223350253,58.900862068965516,51.5247,10.5444,14.0293,12.839873205135358,12.5304,49.98483327918314,5.875451263537906
gen3,mod1_pro,martinezmm,ado,6558,5.000457456541628,1469,316,19.82278481012658,58.51898734177215,64.5369,7.7357,10.8086,10.495096436219836,10.7824,42.10059941074876,3.9862745098039216
gen2,mod3_pro,suarezja,rsp,18622,5.142143700998819,2913,916,20.050218340611355,58.310810810810814,54.979,10.311,13.7136,12.364193681256847,14.044,49.85332399351141,5.876699909338169
gen2,mod3_pro,rosiquela,mdrlp,15980,5.203817271589487,2419,803,19.158156911581568,54.33658536585366,59.3524,8.7073,12.3181,11.663244973536335,13.2437,46.79647771412407,4.903281519861831
gen3,mod3_pro,gonzalezjp,grdlr,9547,4.97674662197549,1728,459,20.455337690631808,58.95614035087719,63.9276,8.566,12.0452,11.272325703755843,11.7362,44.598130078006534,4.73202614379085
gen3,mod3_pro,rodriguezv,mdrlp,5566,5.061444484369385,1054,267,20.636704119850187,57.21875,50.6738,10.9115,13.667,12.366840711682503,13.3501,51.011264951594605,6.118032786885246
gen3,mod3_pro,ruizg,mdrlp,16891,4.9203717956308095,2527,744,22.147849462365592,59.25257731958763,56.7559,10.3116,13.9359,12.54488924578414,11.3623,47.56943405634505,5.546875
gen2,mod1_pro,palominogl,grdlr,7253,4.812353508892872,1421,322,22.341614906832298,59.926829268292686,62.0433,10.0709,13.8993,12.233559481026544,10.9286,48.111613373514324,5.755747126436781
gen3,mod3_pro,villedal,grdlr,11047,5.183398207658188,1828,419,25.86873508353222,59.74809160305343,54.8703,11.3199,15.0212,13.123758901543336,14.126,54.16041636643794,7.2034220532319395
gen3,mod1_pro,vazquezb,grp,1643,4.866098600121728,544,56,29.339285714285715,61.666666666666664,42.7906,14.7437,17.6116,14.386081729148845,11.3786,59.44125258799171,8.821428571428571
gen3,mod3_pro,ruizjf,rias,10326,4.859287236103041,1877,423,24.04964539007092,62.7,58.9624,10.2522,13.9041,12.471704868535273,11.4373,48.56673201649009,5.831739961759082
gen3,mod1_pro,sotoa,grp,7681,4.866033068610858,1299,296,25.77364864864865,62.50588235294118,50.9392,12.1166,15.2051,13.130960647261622,11.4504,52.17982819381603,6.778787878787878
gen2,mod3_pro,sanchezm,rias,12802,4.734338384627402,1627,645,19.49922480620155,57.86666666666667,64.9529,8.6714,11.9482,11.157584491683542,11.0733,44.469396174856314,4.817938420348059
gen2,mod1_pro,moguelcg,cva,4770,4.981341719077568,1156,161,29.012422360248447,57.90909090909091,51.8389,11.7427,15.2754,13.323708024175279,11.8881,52.15464864580352,6.728070175438597
gen3,mod3_pro,floressd,rsp,19575,4.99044699872286,1927,844,23.05924170616114,56.575221238938056,49.6745,12.0446,15.5972,13.55351372682951,12.8785,53.38729715054593,7.004405286343612
gen2,mod3_pro,whitem,rsp,18046,4.689349440319185,2806,1002,17.70758483033932,61.11374407582938,68.8312,7.6336,11.3406,10.791133061754556,9.9074,40.233080576566785,3.907268170426065
gen2,mod3_pro,quezadaa,grdlr,16889,4.789211913079519,2142,1009,16.41526263627354,61.09183673469388,66.4085,7.7231,11.2548,10.918847816757218,11.2137,42.21277556613358,4.184925503943909
gen3,mod1_pro,navarretej,mdrlp,6022,4.6262039189638,1130,209,28.641148325358852,58.86764705882353,52.828,12.8469,16.023,13.085163673227592,10.3735,51.84326897027313,6.671052631578948
gen3,mod3_pro,arzatet,grdlr,9152,5.209243881118881,2008,452,19.966814159292035,60.58490566037736,52.6689,10.6332,13.8465,12.511315170840978,12.5817,50.26150264984953,5.976744186046512
gen2,mod3_pro,jimenezm,rsp,8323,5.279826985461973,1358,410,19.848780487804877,57.57425742574257,59.2667,9.4645,13.2725,12.209109202723807,12.5767,48.44662116000286,5.553846153846154
gen2,mod3_pro,roblesjc,rias,13951,4.703175399612931,2451,313,43.97444089456869,61.161490683229815,49.4827,15.7977,19.9159,14.73472214002972,12.3005,63.40695078640284,9.528395061728395
gen2,mod3_pro,omezeg,rsp,15586,5.0063518542281535,2374,819,18.68742368742369,58.345360824742265,51.6572,10.2775,13.5116,12.35263261847686,12.4601,46.33389085142714,5.031860226104831
gen2,mod3_pro,zepedagg,rias,11413,4.777884868132831,1870,587,19.16695059625213,62.0,64.8075,8.9401,12.4439,11.35648067255404,10.369,44.45765179593897,4.850769230769231
gen2,mod1_pro,mayam,rsp,5881,5.492943376976704,1320,282,20.5531914893617,59.285714285714285,43.1887,11.7071,14.865,13.316012715346723,15.0474,55.71816323114562,6.887573964497041
gen3,mod1_pro,vazquezbs,mdrlp,4960,5.130645161290323,1159,244,19.733606557377048,60.3,55.5313,9.2403,12.3406,11.645223212448801,12.6272,46.26108076966413,4.800578034682081
gen2,mod1_pro,oteroad,grp,4476,4.861930294906166,1013,165,27.024242424242424,60.84,52.8967,12.3404,16.0109,13.598563367482663,12.0547,54.066532180037925,7.306818181818182
gen3,mod3_pro,perezb,ado,12951,5.1026947726044325,2142,514,25.060311284046694,60.817567567567565,46.2186,13.0235,16.712,14.4089804612347,17.0047,56.052637969765044,7.8076923076923075
gen3,mod3_pro,deleonle,nss,19353,5.128972252363974,2601,889,21.598425196850393,60.39545454545455,50.0831,11.4907,14.5198,12.909100827727212,13.0967,52.51879575665847,6.658738366080662
gen2,mod3_pro,valenciahm,cva,11366,4.961551997184586,2130,571,19.455341506129596,57.38405797101449,61.5381,9.1477,12.7217,11.695124341830008,11.6088,45.30462937479671,4.938040345821325
gen3,mod3_pro,garciafj,grp,9194,4.806721775070698,1639,373,24.632707774798927,61.407766990291265,50.3534,12.4467,15.3498,13.088468086330673,11.4467,51.03790804024463,6.5119363395225465
gen2,mod1_pro,navarrorm,rsp,4554,4.96157224418094,1292,214,21.009345794392523,60.735849056603776,56.308,10.374,14.3563,12.92921001984837,11.5588,48.8506423875905,5.825726141078838
gen2,mod3_pro,hernandezl,nsrh,12798,4.9641350210970465,1756,614,20.423452768729643,60.91891891891892,61.582,9.1416,12.8198,11.92796781308732,12.022,46.97541292165319,5.307284768211921
gen2,mod3_pro,hinojosas,cva,2889,4.494980962270682,746,129,22.015503875968992,51.65714285714286,80.4427,7.0077,12.6243,11.476808799610247,8.8859,44.244574434945136,4.874251497005988
gen2,mod3_pro,ceballosi,cva,16360,4.353056234718826,1905,429,37.764568764568764,57.78191489361702,54.0403,14.1683,17.922,13.557963261694658,9.8534,55.901520731453715,7.398039215686275
gen2,mod3_pro,palominogl,grdlr,12681,4.864758299818626,1906,593,21.047217537942664,59.16326530612245,62.331,9.534,13.0334,11.834258183178644,11.0387,46.765434376909106,5.394117647058824
gen2,mod3_pro,romanb,rsp,14984,5.114255205552589,2010,775,18.68258064516129,57.077777777777776,62.7199,7.9891,11.8374,11.319161212031403,11.2594,43.75799050658972,4.284960422163588
gen3,mod1_pro,quezadama,ado,3605,5.271567267683772,1097,102,35.127450980392155,62.926829268292686,33.2983,16.813,20.0677,16.126602466277873,14.1106,66.28385501967514,10.982905982905983
gen3,mod1_pro,contrerasa,grdlr,5078,5.016738873572272,1176,237,21.122362869198312,59.28813559322034,57.0275,10.2737,13.5011,12.156754547663372,11.8096,48.49465866985694,5.725274725274725
gen2,mod3_pro,santoyoe,grdlr,10285,4.865629557608167,1766,370,27.583783783783783,57.5,54.5263,12.61,17.1865,14.224329687027057,13.1909,56.39043111486731,7.949519230769231
gen3,mod1_pro,benavidesca,nss,8962,5.32660120508815,2107,374,22.815508021390375,59.757009345794394,46.7842,10.7087,14.5718,13.184232566316625,13.133,50.318969057568026,5.651591289782244
gen3,mod1_pro,gonzalezd,grdlr,3599,5.141706029452625,1028,151,23.364238410596027,62.146341463414636,50.3072,11.4595,14.4798,12.895053709408955,13.237,53.48378642851519,6.873626373626373
gen3,mod1_pro,torresd,grp,6246,5.016170349023375,1114,296,20.83108108108108,57.84931506849315,58.8488,10.0197,13.8493,12.505581680573442,11.5842,48.892073803918315,5.827893175074184
gen2,mod1_pro,ucop,grdlr,5945,4.731034482758621,1277,160,36.4875,62.130434782608695,55.526,12.4705,16.3037,13.50766191424665,11.6953,53.460864103025614,7.100456621004566
gen3,mod3_pro,tellor,rias,15223,4.983117650922946,1882,561,26.614973262032084,58.10674157303371,51.4209,11.801,14.9568,12.997863019528971,12.7245,52.71658907814458,6.844729344729345
gen2,mod3_pro,fragosol,ado,4868,5.415776499589153,1376,228,20.92105263157895,60.24561403508772,41.7771,11.904,15.2122,13.664942906281524,14.5478,53.781725360874354,6.597122302158273
gen2,mod1_pro,jimenezm,rsp,5375,5.0829767441860465,1127,238,22.34873949579832,61.0,58.5313,10.0639,13.7992,12.549641468343879,12.2477,51.17302462040105,6.333333333333333
gen2,mod3_pro,navarrorm,rsp,4948,4.724130962004851,1034,328,13.625,55.78688524590164,78.1526,4.5945,8.8643,9.271253615356919,9.0096,32.94800552033964,2.2897526501766783
gen3,mod3_pro,rivasle,grdlr,10135,5.226245683275777,1588,579,17.1433506044905,60.794871794871796,59.4631,9.1887,13.287,12.127901405624211,12.8057,49.65486662149539,5.570796460176991
gen2,mod1_pro,ruelasji,rias,3168,4.701388888888889,893,180,17.272222222222222,60.861111111111114,69.1719,7.8345,11.5785,10.859605525392373,9.8306,41.12899392789214,4.1182266009852215
gen2,mod1_pro,chavezfr,cva,4015,5.002988792029888,964,143,27.72027972027972,59.87234042553192,51.5901,12.5227,15.5887,13.216225207239216,11.9936,55.10792346987204,7.586826347305389
